Fold,Val Acc,F1 Macro,AUC,Trening (s),Infer ms/slika
1,0.19,0.1432,0.6287,31.1,5.269
2,0.106,0.038,0.568,30.8,4.671
Prosek,0.148,0.0906,0.5983,30.95,4.97
