Fold,Val Acc,F1 Macro,AUC,Trening (s),Infer ms/slika
1,0.4932,0.4812,0.879,5180.6,25.411
2,0.4643,0.4444,0.8731,5176.0,26.245
3,0.4629,0.4483,0.8736,5181.9,25.077
4,0.4868,0.4735,0.8724,5172.9,25.179
5,0.4746,0.4572,0.8709,4964.8,20.518
Prosek,0.4764,0.4609,0.8738,5135.24,24.486
