Fold,Val Acc,F1 Macro,AUC,Trening (s),Infer ms/slika
1,0.25,0.2308,0.7145,14.4,1.723
2,0.256,0.2024,0.7061,13.6,1.877
Prosek,0.253,0.2166,0.7103,14.0,1.8
