Fold,Val Acc,F1 Macro,AUC,Trening (s),Infer ms/slika
1,0.732,0.722,0.9719,19.7,3.657
2,0.684,0.6806,0.9507,20.7,3.166
Prosek,0.708,0.7013,0.9613,20.2,3.4115
